RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:wrote	pub_371771	0.0810
dblp:publishedIn	venue_1735	0.1205
dblp:inYear	year_19	0.1087
dblp:publishedIn	venue_1180	0.1167
dblp:wrote	pub_50246	0.0760
dblp:inYear	year_38	0.1341
dblp:wrote	pub_309392	0.0829
dblp:inYear	year_8	0.2001
dblp:inYear	year_41	0.1658
dblp:wrote	pub_350352	0.0808
dblp:publishedIn	venue_1610	0.1224
dblp:hasAuthor	author_631979	0.0875
dblp:hasAuthor	author_557451	0.0793
dblp:wrote	pub_236915	0.1206
dblp:hasAuthor	author_516093	0.0692
dblp:hasAuthor	author_493996	0.0787
dblp:wrote	pub_458635	0.0733
dblp:wrote	pub_341769	0.0811
dblp:publishedIn	venue_1931	0.1207
dblp:wrote	pub_171318	0.1138
dblp:inYear	year_13	0.1342
dblp:hasAuthor	author_585175	0.1008
dblp:publishedIn	venue_2293	0.1456
dblp:wrote	pub_448048	0.0613
dblp:publishedIn	venue_262	0.1468
dblp:wrote	pub_405812	0.0813
dblp:publishedIn	venue_2566	0.1048
dblp:hasAuthor	author_599328	0.0689
dblp:inYear	year_35	0.2259
dblp:publishedIn	venue_1430	0.1029
dblp:publishedIn	venue_2575	0.1011
dblp:hasAuthor	author_342881	0.0931
dblp:inYear	year_54	0.1527
dblp:publishedIn	venue_1950	0.1084
dblp:wrote	pub_476341	0.1478
dblp:hasAuthor	author_501501	0.0924
dblp:inYear	year_60	0.1886
dblp:publishedIn	venue_2939	0.1304
dblp:wrote	pub_273461	0.0646
dblp:inYear	year_41	0.1846
dblp:wrote	pub_243350	0.0862
dblp:hasAuthor	author_617369	0.0782
dblp:wrote	pub_463595	0.0881
dblp:wrote	pub_478226	0.0783
dblp:inYear	year_58	0.1515
dblp:inYear	year_58	0.1906
dblp:publishedIn	venue_1162	0.1787
dblp:wrote	pub_478788	0.0962
dblp:wrote	pub_400812	0.1149
dblp:publishedIn	venue_404	0.1216
dblp:wrote	pub_468345	0.1105
dblp:wrote	pub_257716	0.0836
dblp:wrote	pub_182669	0.0784
dblp:publishedIn	venue_1911	0.1779
dblp:publishedIn	venue_1668	0.1394
dblp:hasAuthor	author_84963	0.0725
dblp:wrote	pub_22333	0.0949
dblp:hasAuthor	author_190949	0.0748
dblp:hasAuthor	author_236956	0.0837
dblp:publishedIn	venue_1401	0.1127
dblp:wrote	pub_433346	0.0779
dblp:wrote	pub_86375	0.1153
dblp:publishedIn	venue_2602	0.1549
dblp:hasAuthor	author_143090	0.0671
dblp:publishedIn	venue_2866	0.1580
dblp:inYear	year_43	0.2047
dblp:wrote	pub_271688	0.1051
dblp:publishedIn	venue_2733	0.1138
dblp:hasAuthor	author_3195	0.0719
dblp:wrote	pub_159014	0.0940
dblp:publishedIn	venue_2575	0.1386
dblp:wrote	pub_341799	0.0530
dblp:hasAuthor	author_494047	0.1123
dblp:hasAuthor	author_56896	0.0822
dblp:wrote	pub_89975	0.0888
dblp:hasAuthor	author_328735	0.0694
dblp:publishedIn	venue_2250	0.1563
dblp:wrote	pub_108730	0.0995
dblp:inYear	year_50	0.1598
dblp:wrote	pub_470272	0.0808
dblp:inYear	year_59	0.1489
dblp:hasAuthor	author_451549	0.0722
dblp:inYear	year_57	0.1762
dblp:inYear	year_22	0.1886
dblp:hasAuthor	author_108551	0.1104
dblp:hasAuthor	author_9042	0.0795
dblp:wrote	pub_259656	0.0785
dblp:publishedIn	venue_1714	0.1655
dblp:inYear	year_50	0.1863
dblp:inYear	year_51	0.1619
dblp:wrote	pub_73484	0.0792
dblp:wrote	pub_191582	0.0850
dblp:inYear	year_62	0.2383
dblp:inYear	year_41	0.1222
dblp:wrote	pub_57948	0.0733
dblp:wrote	pub_246113	0.0789
dblp:hasAuthor	author_299211	0.0771
dblp:inYear	year_51	0.1467
dblp:inYear	year_60	0.1182
dblp:publishedIn	venue_1590	0.1414
dblp:wrote	pub_429671	0.0820
dblp:wrote	pub_8233	0.0671
dblp:hasAuthor	author_40371	0.1323
dblp:publishedIn	venue_2074	0.1229
dblp:inYear	year_38	0.1734
dblp:wrote	pub_282033	0.1004
dblp:hasAuthor	author_264209	0.0720
dblp:publishedIn	venue_2799	0.1248
dblp:inYear	year_61	0.1201
dblp:hasAuthor	author_175924	0.0789
dblp:publishedIn	venue_2206	0.1543
dblp:wrote	pub_487461	0.0926
dblp:publishedIn	venue_1775	0.0879
dblp:wrote	pub_363849	0.0946
dblp:inYear	year_31	0.1687
dblp:hasAuthor	author_534099	0.1225
dblp:wrote	pub_271730	0.0771
dblp:wrote	pub_418056	0.0855
dblp:hasAuthor	author_488258	0.0725
dblp:hasAuthor	author_494047	0.0713
dblp:hasAuthor	author_387325	0.0823
dblp:hasAuthor	author_323382	0.0587
dblp:inYear	year_60	0.1613
