HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
generated_context	dblp:hasDOI	pub_547035	0.7137
generated_context	dblp:partOf	link_144430	0.4951
generated_context	dblp:publishedIn	pub_607282	0.3310
generated_context	dblp:hasLink	author_663651	0.2060
generated_context	dblp:hasDOI	pub_774351	0.6187
generated_context	dblp:hasAuthor	author_539087	0.1890
generated_context	dblp:partOf	author_450532	0.4612
generated_context	dblp:partOf	link_825661	0.4723
generated_context	dblp:hasAuthor	pub_108344	0.1884
generated_context	dblp:paperType	link_875415	0.3593
generated_context	dblp:publishedIn	pub_934921	0.2617
generated_context	dblp:hasDOI	pub_757982	0.6366
generated_context	dblp:wrote	doi_40584	0.2211
generated_context	dblp:wrote	link_725006	0.2606
generated_context	dblp:hasDOI	doi_487082	0.7342
generated_context	dblp:wrote	pub_359127	0.2397
generated_context	dblp:hasDOI	doi_304642	0.6173
generated_context	dblp:partOf	pub_907564	0.3849
generated_context	dblp:publishedIn	pub_211503	0.2978
generated_context	dblp:partOf	doi_580628	0.4035
generated_context	dblp:wrote	doi_358835	0.2313
generated_context	dblp:hasLink	doi_342555	0.2437
generated_context	dblp:hasAuthor	pub_542954	0.1608
generated_context	dblp:hasLink	author_321652	0.2723
generated_context	dblp:hasAuthor	pub_810856	0.1997
generated_context	dblp:partOf	link_406255	0.4183
generated_context	dblp:hasDOI	doi_515185	0.6368
generated_context	dblp:paperType	author_184065	0.3126
generated_context	dblp:inYear	link_63577	0.2868
generated_context	dblp:hasAuthor	pub_607086	0.2491
generated_context	dblp:hasLink	pub_883342	0.2644
generated_context	dblp:wrote	author_830389	0.2158
generated_context	dblp:inYear	author_1007742	0.2615
generated_context	dblp:wrote	link_536678	0.2382
generated_context	dblp:hasLink	doi_86394	0.3527
generated_context	dblp:paperType	link_717212	0.3572
generated_context	dblp:inYear	author_134413	0.3254
generated_context	dblp:hasAuthor	doi_473154	0.2106
generated_context	dblp:partOf	link_835782	0.3817
generated_context	dblp:hasAuthor	link_805078	0.2762
generated_context	dblp:wrote	author_620662	0.1957
generated_context	dblp:partOf	doi_791472	0.4822
generated_context	dblp:paperType	author_915857	0.3264
generated_context	dblp:hasDOI	link_874577	0.6912
generated_context	dblp:wrote	pub_191281	0.1987
generated_context	dblp:wrote	doi_648083	0.2560
generated_context	dblp:hasDOI	pub_884935	0.7314
generated_context	dblp:paperType	author_942965	0.3848
generated_context	dblp:hasLink	collection_11354	0.3127
generated_context	dblp:hasAuthor	doi_832710	0.2082
generated_context	dblp:hasAuthor	pub_989235	0.2507
generated_context	dblp:partOf	doi_113229	0.4468
generated_context	dblp:inYear	doi_252056	0.3234
generated_context	dblp:hasLink	doi_395219	0.2963
generated_context	dblp:hasAuthor	pub_446052	0.2044
generated_context	dblp:publishedIn	doi_651820	0.3633
generated_context	dblp:hasDOI	author_444155	0.7295
generated_context	dblp:hasAuthor	pub_204101	0.2750
generated_context	dblp:hasLink	pub_316801	0.2523
generated_context	dblp:partOf	link_597889	0.4365
generated_context	dblp:partOf	pub_994457	0.4440
generated_context	dblp:hasAuthor	pub_288983	0.1972
